count [L.N(Gp)+L.N(Gn) = 5] : , 61
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 16
0.00835
count [L.N(Gp)+L.N(Gn) = 2] : , 334
count [L.N(Gp)+L.N(Gn) = 3] : , 9041
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1413
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 30136
count [L.N(Gp)+L.N(Gn) = 5] : , 76
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 17
inf
count [L.N(Gp)+L.N(Gn) = 2] : , 325
count [L.N(Gp)+L.N(Gn) = 3] : , 9022
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1338
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 30245
count [L.N(Gp)+L.N(Gn) = 5] : , 70
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 1
0.0985779
count [L.N(Gp)+L.N(Gn) = 2] : , 1837
count [L.N(Gp)+L.N(Gn) = 3] : , 16798
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1859
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 20477
count [L.N(Gp)+L.N(Gn) = 5] : , 29
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 2
0.0655221
count [L.N(Gp)+L.N(Gn) = 2] : , 1019
count [L.N(Gp)+L.N(Gn) = 3] : , 14533
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1856
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 23562
count [L.N(Gp)+L.N(Gn) = 5] : , 30
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 3
0.0551299
count [L.N(Gp)+L.N(Gn) = 2] : , 770
count [L.N(Gp)+L.N(Gn) = 3] : , 13197
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1568
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 25447
count [L.N(Gp)+L.N(Gn) = 5] : , 18
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 4
0.0502849
count [L.N(Gp)+L.N(Gn) = 2] : , 653
count [L.N(Gp)+L.N(Gn) = 3] : , 12333
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1445
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 26537
count [L.N(Gp)+L.N(Gn) = 5] : , 32
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 5
0.0480863
count [L.N(Gp)+L.N(Gn) = 2] : , 593
count [L.N(Gp)+L.N(Gn) = 3] : , 11739
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1405
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 27214
count [L.N(Gp)+L.N(Gn) = 5] : , 49
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 1
0.210073
count [L.N(Gp)+L.N(Gn) = 2] : , 6386
count [L.N(Gp)+L.N(Gn) = 3] : , 24013
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 35
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 10557
count [L.N(Gp)+L.N(Gn) = 5] : , 9
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 2
0.209876
count [L.N(Gp)+L.N(Gn) = 2] : , 6367
count [L.N(Gp)+L.N(Gn) = 3] : , 23970
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 581
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 10005
count [L.N(Gp)+L.N(Gn) = 5] : , 77
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 3
0.219973
count [L.N(Gp)+L.N(Gn) = 2] : , 6727
count [L.N(Gp)+L.N(Gn) = 3] : , 23854
count [L.N(Gp)+L.N(Gn) = 4 middle] : , 1018
count [L.N(Gp)+L.N(Gn) = 4 high low] : , 9283
count [L.N(Gp)+L.N(Gn) = 5] : , 118
count [L.N(Gp)+L.N(Gn) = 6] : , 0
epoch, 4
0.227589
count [L.N(Gp)+L.N(Gn) = 2] : , 7025
