epoch, 1
IH, 0.974539, HO, 0.999257
location1 : , 0, 0, 0
location2 : , 0, 0, 40000
location3 : , 0, 0, 0
location4 : , 0, 0, 1000
location5 : , 0, 0, 0
location6 : , 0, 0, 0
epoch, 2
IH, 0.980199, HO, 0.999765
location1 : , 0, 0, 0
location2 : , 0, 0, 40000
location3 : , 0, 0, 0
location4 : , 0, 0, 1000
location5 : , 0, 0, 0
location6 : , 0, 0, 0
epoch, 3
IH, 0.984363, HO, 0.999929
location1 : , 0, 0, 0
location2 : , 0, 1, 39999
location3 : , 0, 0, 0
location4 : , 0, 0, 1000
location5 : , 0, 0, 0
location6 : , 0, 0, 0
epoch, 4
IH, 0.987752, HO, 0.999387
location1 : , 0, 0, 0
location2 : , 0, 1, 39999
location3 : , 0, 1, 999
location4 : , 0, 0, 0
location5 : , 0, 0, 0
location6 : , 0, 0, 0
epoch, 5
IH, 0.987674, HO, 0.998879
location1 : , 0, 0, 0
location2 : , 0, 0, 41000
location3 : , 0, 0, 0
location4 : , 0, 0, 0
location5 : , 0, 0, 0
location6 : , 0, 0, 0
epoch, 6
IH, 0.987578, HO, 0.998902
location1 : , 0, 0, 0
location2 : , 0, 0, 40000
location3 : , 0, 0, 1000
location4 : , 0, 0, 0
location5 : , 0, 0, 0
location6 : , 0, 0, 0
epoch, 7
IH, 0.986926, HO, 0.999179
location1 : , 0, 0, 0
location2 : , 0, 0, 41000
location3 : , 0, 0, 0
location4 : , 0, 0, 0
location5 : , 0, 0, 0
location6 : , 0, 0, 0
epoch, 8
IH, 0.988118, HO, 0.998517
location1 : , 0, 0, 0
location2 : , 0, 5, 39995
location3 : , 0, 0, 0
location4 : , 0, 0, 1000
location5 : , 0, 0, 0
location6 : , 0, 0, 0
epoch, 9
IH, 0.988585, HO, 0.998658
location1 : , 0, 0, 0
location2 : , 0, 0, 40000
location3 : , 0, 0, 0
location4 : , 0, 0, 1000
location5 : , 0, 0, 0
location6 : , 0, 0, 0
epoch, 10
IH, 0.989445, HO, 0.999036
location1 : , 0, 0, 0
location2 : , 0, 0, 40000
location3 : , 0, 0, 0
location4 : , 0, 0, 1000
location5 : , 0, 0, 0
location6 : , 0, 0, 0
epoch, 11
IH, 0.988876, HO, 0.998035
location1 : , 0, 0, 0
location2 : , 0, 4, 39996
location3 : , 0, 0, 0
location4 : , 0, 0, 1000
location5 : , 0, 0, 0
location6 : , 0, 0, 0
epoch, 12
IH, 0.990831, HO, 0.999351
location1 : , 0, 0, 0
location2 : , 0, 0, 40000
location3 : , 0, 0, 0
location4 : , 0, 1, 999
location5 : , 0, 0, 0
location6 : , 0, 0, 0
epoch, 13
IH, 0.99013, HO, 0.997367
location1 : , 0, 0, 0
location2 : , 0, 0, 40000
location3 : , 0, 0, 0
location4 : , 0, 1, 999
location5 : , 0, 0, 0
location6 : , 0, 0, 0
epoch, 14
IH, 0.989753, HO, 0.998199
location1 : , 0, 0, 0
location2 : , 0, 0, 40000
location3 : , 0, 0, 0
location4 : , 0, 0, 1000
location5 : , 0, 0, 0
location6 : , 0, 0, 0
epoch, 15
IH, 0.989341, HO, 0.998964
location1 : , 0, 0, 0
location2 : , 0, 0, 40000
location3 : , 0, 0, 0
location4 : , 0, 0, 1000
location5 : , 0, 0, 0
location6 : , 0, 0, 0
epoch, 16
IH, 0.988209, HO, 0.998342
location1 : , 0, 0, 0
location2 : , 0, 0, 40000
location3 : , 0, 0, 0
location4 : , 0, 0, 1000
location5 : , 0, 0, 0
location6 : , 0, 0, 0
epoch, 17
IH, 0.988693, HO, 0.998919
location1 : , 0, 0, 0
location2 : , 0, 0, 0
location3 : , 0, 0, 1000
location4 : , 0, 0, 0
location5 : , 0, 27, 39973
location6 : , 0, 0, 0
epoch, 1
IH, 0.963677, HO, 0.999431
location1 : , 0, 0, 1837
location2 : , 0, 0, 16798
location3 : , 0, 0, 1859
location4 : , 0, 0, 20477
location5 : , 0, 0, 29
location6 : , 0, 0, 0
epoch, 2
IH, 0.979227, HO, 0.999524
location1 : , 0, 0, 1019
location2 : , 0, 0, 14533
location3 : , 0, 0, 1856
